WEIGHT,CLASS,GROSS CHG,NET,ORG ZIP,DEST ZIP,
605,250,$522.61 ,$522.61 ,30728,28677,
126,55,$97.48 ,$115.64 ,48326,19148,
122,150,$86.00 ,$100.19 ,30728,40245,
122,150,$86.00 ,$100.19 ,40245,30728,
190,55,$88.60 ,$102.42 ,48326,44077,
250,85,$88.60 ,$152.29 ,30728,48326,
110,150,$86.00 ,$100.45 ,48326,40601,
100,150,$86.00 ,$100.36 ,48326,40601,
75,150,$86.00 ,$100.36 ,48326,40601,
52,150,$86.00 ,$100.28 ,48326,40601,
85,200,$86.00 ,$100.28 ,40299,48326,
85,200,$86.00 ,$100.28 ,48326,40299,
130,150,$88.60 ,$102.69 ,30728,40601,
690,300,"$2,528.34 ","$1,037.58 ",48326,29303,
150,70,$89.25 ,$110.22 ,48326,25507,
314,125,$86.00 ,$200.28 ,48326,44663,
200,60,$88.60 ,$107.29 ,43506,49783,
311,55,$88.60 ,$107.03 ,30728,28214,
85,150,$75.00 ,$89.30 ,30728,37090,
140,150,$86.00 ,$100.45 ,48326,45320,
124,150,$86.00 ,$99.85 ,30728,40245,
124,150,$86.00 ,$99.85 ,40245,30728,
46,150,$75.00 ,$89.18 ,30728,37090,
25,250,$86.00 ,$100.45 ,30728,45320,
356,55,$92.24 ,$111.73 ,30728,37040,
191,70,$86.00 ,$100.36 ,48326,49505,
185,150,$86.00 ,$100.19 ,30728,37416,
185,150,$86.00 ,$100.19 ,30728,37416,
70,150,$86.00 ,$100.28 ,30728,45320,
219,55,$86.00 ,$100.28 ,48326,44077,
30,150,$86.00 ,$100.02 ,30728,45320,
154,125,$86.00 ,$100.02 ,48326,49505,
150,125,$86.00 ,$100.02 ,48326,49505,
130,150,$88.60 ,$107.29 ,48326,40601,
180,150,$144.82 ,$161.00 ,30728,25276,
120,150,$86.00 ,$145.88 ,30728,49783,
230,250,$451.03 ,$262.52 ,30728,2895,
768,100,$353.57 ,$181.87 ,30728,37416,
1158,250,"$2,967.32 ","$1,553.04 ",30728,12183,
200,250,$339.24 ,$255.84 ,48326,49783,
127,55,$97.48 ,$111.73 ,48326,19054,
268,70,$106.74 ,$115.41 ,43506,26726,
125,60,$88.60 ,$107.29 ,48309,30728,
124,250,$88.60 ,$106.41 ,30728,37355,
95,250,$114.79 ,$120.99 ,30728,40245,
95,250,$114.79 ,$120.99 ,40245,30728,
98,300,$86.00 ,$100.19 ,30728,37416,
306,150,$88.60 ,$202.69 ,48326,49237,
553,125,$348.22 ,$259.33 ,48326,49783,
735,85,$195.15 ,$153.02 ,30728,37388,
127,150,$88.60 ,$103.40 ,48326,40601,
110,150,$86.00 ,$100.28 ,30728,43113,
330,150,$88.60 ,$217.74 ,48326,49237,
91,250,$88.60 ,$102.51 ,30728,42240,
130,150,$88.60 ,$105.43 ,48326,40601,
320,150,$88.60 ,$210.26 ,48326,49237,
80,150,$75.00 ,$90.44 ,30728,35490,
190,150,$86.00 ,$100.28 ,30728,37416,
57,150,$75.00 ,$90.38 ,30728,35490,
205,150,$351.88 ,$138.33 ,30728,37110,
527,70,$86.00 ,$145.79 ,30728,27215,
311,55,$88.60 ,$107.29 ,47711,30728,
311,55,$88.60 ,$107.29 ,30728,47711,
285,55,$88.60 ,$107.65 ,30728,45342,
110,110,$78.50 ,$80.60 ,48326,48170,
620,250,$744.56 ,$744.56 ,30728,49036,
125,60,$88.60 ,$107.29 ,30728,48309,
90,150,$88.60 ,$107.29 ,30728,48170,
109,85,$88.60 ,$105.26 ,48326,37303,
138,150,$86.00 ,$99.93 ,48326,44663,
179,55,$88.60 ,$106.85 ,30728,45342,
260,85,$86.00 ,$100.45 ,48326,45845,
275,150,$118.00 ,$143.25 ,30728,37388,
100,150,$78.50 ,$79.95 ,48326,48170,
120,150,$78.50 ,$79.95 ,48326,48170,
66,150,$86.00 ,$100.45 ,48326,62263,
95,150,$88.60 ,$106.41 ,30728,48170,
267,55,$88.60 ,$106.32 ,30728,45342,
80,60,$86.00 ,$100.28 ,48326,37122,
320,85,$86.00 ,$100.10 ,30728,37355,
75,300,$88.60 ,$103.48 ,30728,35490,
935,60,$125.29 ,$153.02 ,30728,37388,
175,150,$88.60 ,$107.03 ,48326,43506,
175,150,$88.60 ,$107.03 ,43506,48326,
375,55,$285.56 ,$112.19 ,30728,37090,
338,60,$92.00 ,$112.15 ,49237,46158,
7,175,$78.50 ,$78.98 ,48326,48188,
75,175,$78.50 ,$78.98 ,48326,48188,
390,55,$101.05 ,$115.64 ,30728,37040,
338,60,$86.00 ,$135.19 ,30728,45845,
150,55,$86.00 ,$100.45 ,43506,49783,
165,55,$86.00 ,$100.45 ,43506,49783,
160,55,$86.00 ,$100.36 ,48326,49783,
200,55,$86.00 ,$100.36 ,48326,49783,
130,250,$88.60 ,$106.85 ,30728,37355,
30,250,$86.00 ,$100.45 ,30728,43506,
30,250,$86.00 ,$100.45 ,43506,30728,
240,55,$86.00 ,$100.19 ,48326,49783,
200,55,$86.00 ,$100.19 ,43506,49783,
100,100,$86.00 ,$100.36 ,30728,43506,
100,100,$86.00 ,$100.36 ,43506,30728,
166,150,$86.00 ,$100.10 ,30728,30165,
111,150,$88.60 ,$102.60 ,48326,30728,
150,55,$86.00 ,$99.93 ,43506,49783,
100,100,$86.00 ,$99.93 ,30728,43506,
100,100,$86.00 ,$99.93 ,43506,30728,
63,150,$78.50 ,$78.00 ,48326,48188,
770,85,$153.31 ,$153.02 ,30728,37388,
140,150,$88.60 ,$105.17 ,48326,49783,
120,175,$115.00 ,$142.60 ,30728,64153,
150,150,$86.00 ,$100.19 ,48326,45320,
275,60,$129.11 ,$116.83 ,48326,2895,
175,125,$88.60 ,$102.69 ,48326,44621,
180,250,$86.00 ,$146.05 ,30728,37355,
85,100,$98.50 ,$121.84 ,30707,78041,
1850,70,$662.86 ,$366.42 ,48326,49783,
130,150,$86.00 ,$100.28 ,48326,40601,
200,65,$86.00 ,$135.36 ,48326,64068,
1645,250,"$1,810.20 ","$1,387.63 ",48326,30728,
250,125,$88.60 ,$138.47 ,48326,45414,
225,100,$86.00 ,$100.19 ,48326,49505,
120,150,$78.50 ,$76.70 ,48326,48188,
66,55,$78.50 ,$76.70 ,48326,48174,
90,70,$78.50 ,$76.70 ,43506,43420,
75,250,$78.50 ,$76.70 ,48326,48170,
80,150,$86.00 ,$100.28 ,48326,30728,
2592,125,"$1,364.97 ",$549.55 ,48326,46706,
60,125,$86.00 ,$100.19 ,48326,30728,
122,85,$86.00 ,$100.19 ,48326,28625,
120,100,$86.00 ,$100.19 ,48326,30728,
68,250,$86.00 ,$100.19 ,48326,30728,
55,250,$86.00 ,$100.19 ,48326,30728,
25,100,$95.22 ,$117.31 ,30728,76710,
175,70,$97.65 ,$119.62 ,48326,38310,
123,175,$88.60 ,$105.17 ,30728,40245,
123,175,$88.60 ,$105.17 ,40245,30728,
25,300,$86.00 ,$100.10 ,30728,44312,
154,150,$88.60 ,$106.23 ,48326,44663,
135,300,$86.00 ,$165.19 ,30728,37091,
100,150,$86.00 ,$99.93 ,48326,30728,
42,300,$86.00 ,$99.93 ,30728,44312,
45,150,$130.91 ,$76.38 ,48326,48170,
120,70,$78.50 ,$76.38 ,48375,48326,
63,150,$78.50 ,$76.38 ,48326,48188,
120,70,$78.50 ,$76.38 ,48326,48375,
140,150,$242.17 ,$96.42 ,30728,35490,
60,150,$78.50 ,$76.05 ,48326,48170,
80,300,$86.00 ,$100.19 ,48326,46517,
63,300,$109.96 ,$115.41 ,30728,72908,
285,60,$133.81 ,$115.64 ,48326,2895,
85,250,$78.50 ,$76.38 ,48326,48170,
275,150,$86.00 ,$200.10 ,48326,49783,
